ID,AverageFiberLength,OrientationX,OrientationY,OrientationZ,AverageConnectivityWITHBoundary,AverageConnectivityWITHOUTBoundary,StrenghX,StrengthY,StrengthZ,ToughnessX,ToughnessY,ToughnessZ,Density,Sample1,Sample2,Ratio1,Ratio2,qSimx,qSimy,qSimz,AverageStrength,AverageToughness,dir
19,0.003413183,0.422448312,0.280830796,0.296720892,2.838248436,3.077726218,26.43011017,16.24367824,14.42465298,44.50632819,40.27917636,37.46352766,0.000310912,1,2,0.2,0.9,55,56,57,19.0328138,40.7496774,./WebNet_Mar6/All_Data/s1s2_Ratio_20_90
20,0.003419056,0.418962829,0.282275558,0.298761613,2.860759494,3.07918552,25.76670848,14.9611706,16.09649545,44.76302462,39.62809422,44.3340342,0.00030276,1,2,0.2,1,58,59,60,18.94145818,42.90838435,./WebNet_Mar6/All_Data/s1s2_Ratio_20_100
21,0.002901361,0.372272796,0.321219512,0.306507692,2.656455142,3.096153846,30.26577214,29.34334289,20.44741678,41.98120046,46.93774012,55.79190206,0.000342962,1,2,0.3,0.1,61,62,63,26.6855106,48.23694754,./WebNet_Mar6/All_Data/s1s2_Ratio_30_10
22,0.002988635,0.385902763,0.31916276,0.294934477,2.678899083,3.091145833,30.27517044,24.48901426,20.30576132,49.27733767,44.02395087,40.08914673,0.000323994,1,2,0.3,0.2,64,65,66,25.02331534,44.46347842,./WebNet_Mar6/All_Data/s1s2_Ratio_30_20
23,0.002978431,0.387237999,0.308273905,0.304488096,2.727272727,3.097415507,31.67907807,23.78931373,16.71289524,43.90069142,53.13633735,47.00900161,0.000331097,1,2,0.3,0.3,67,68,69,24.06042901,48.01534346,./WebNet_Mar6/All_Data/s1s2_Ratio_30_30
24,0.00309214,0.401581777,0.299166579,0.299251644,2.76433121,3.091680815,32.53982984,22.05879157,14.39138443,40.52140151,43.21268623,41.82313166,0.000327921,1,2,0.3,0.4,70,71,72,22.99666861,41.85240647,./WebNet_Mar6/All_Data/s1s2_Ratio_30_40
25,0.003101612,0.409094456,0.294948176,0.295957369,2.789823009,3.07959479,27.00866592,19.0157777,17.16567086,42.65128067,41.91894931,42.09614012,0.000329275,1,2,0.3,0.5,73,74,75,21.06337149,42.22212337,./WebNet_Mar6/All_Data/s1s2_Ratio_30_50
26,0.00310809,0.406830925,0.290995368,0.302173707,2.818532819,3.082603254,27.06515919,18.33248104,17.60965254,50.11118388,45.96083091,47.83015308,0.000335513,1,2,0.3,0.6,76,77,78,21.00243092,47.96738929,./WebNet_Mar6/All_Data/s1s2_Ratio_30_60
27,0.003188338,0.414361046,0.288128044,0.29751091,2.83800905,3.080607477,27.14211605,17.24639214,16.94678329,51.66060892,45.04340087,41.05843913,0.000329509,1,2,0.3,0.7,79,80,81,20.44509716,45.92081631,./WebNet_Mar6/All_Data/s1s2_Ratio_30_70
28,0.003263973,0.419423546,0.283302339,0.297274115,2.849829352,3.079781421,26.92132038,15.31095655,17.6247247,46.37114826,42.10455844,40.93098906,0.000324088,1,2,0.3,0.8,82,83,84,19.95233388,43.13556525,./WebNet_Mar6/All_Data/s1s2_Ratio_30_80
29,0.003320486,0.419425633,0.285049923,0.295524444,2.853441296,3.078756477,25.18176531,14.10000348,16.12613828,45.74045077,39.01972301,38.69768658,0.000311875,1,2,0.3,0.9,85,86,87,18.46930236,41.15262012,./WebNet_Mar6/All_Data/s1s2_Ratio_30_90
