Material,Test File,O2,Particulate,Particulate Size (um),Substrate,Input Velocity (m/s),Output Velocity (m/s),Coefficient of Restitution,Test Temperature Actual (F),Nominal Gas Velocity (ft/s),Flash,Ignition 
Al-Ni 1mm,95519.pps,0,Al,1000,Ni,48.81658644,8.706538126,0.178352047,71.1,144,0,0
Al-Ni 1mm,95519.pps,0,Al,1000,Ni,24.3290402,4.913362426,0.201954635,71.1,144,0,0
Al-Ni 1mm,95519.pps,0,Al,1000,Ni,42.84591651,7.153741794,0.166964378,71.1,144,0,0
Al-Ni 1mm,95519.pps,0,Al,1000,Ni,50.89226633,8.3668952,0.16440406,71.1,144,0,0
Al-Ni 1mm,95520.pps,0,Al,1000,Ni,113.4079586,10.14750652,0.089477905,72.7,453,0,0
Al-Ni 1mm,95520.pps,0,Al,1000,Ni,108.0521575,9.00498465,0.08333924,72.7,453,0,0
Al-Ni 1mm,95520.pps,0,Al,1000,Ni,111.4480609,7.545806349,0.067706933,72.7,453,0,0
Al-Ni 1mm,95520.pps,0,Al,1000,Ni,108.2068132,9.827669067,0.090823015,72.7,453,0,0
Al-Ni 1mm,95520.pps,0,Al,1000,Ni,110.9480264,11.31523565,0.101986813,72.7,453,0,0
SS med,95522.pps,0,SS,95,S,132.2781222,18.6147071,0.140724005,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,130.4183437,24.27060867,0.186098121,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,143.449684,24.59055314,0.171422846,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,121.3610069,13.42311571,0.110604848,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,129.3867634,15.01004635,0.116009134,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,85.8766012,9.492422823,0.110535614,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,80.04113004,12.48712514,0.156008856,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,109.8901978,18.98492843,0.172762711,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,132.223625,34.2219191,0.258818491,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,89.47224623,17.48390764,0.19541152,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,124.8413908,25.86446311,0.207178588,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,121.130247,22.33950474,0.184425487,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,39.26564664,9.166594451,0.233450745,73.1,453,0,0
SS med,95522.pps,0,SS,95,S,89.47225172,10.85414617,0.121312988,73.1,453,0,0
