Material,Test File,O2,Particulate,Particulate Size (um),Substrate,Input Velocity (m/s),Output Velocity (m/s),Coefficient of Restitution,Test Temperature Actual (F),Nominal Gas Velocity (ft/s),Flash,Ignition 
SS med,95530.pps,0,SS,95,S,227.180619,15.00879904,0.066065491,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,216.0526065,22.41693826,0.103756852,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,63.53377671,16.01418449,0.252057808,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,50.39740727,13.03029497,0.258550899,76.6,933,0,0
SS med,95530.pps,0,SS,95,S,61.45462153,10.85323828,0.17660573,76.6,933,0,0
SS med,95531.pps,0,SS,95,S,98.24790512,9.221333749,0.093857815,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,148.3015203,33.19679507,0.223846627,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,165.3551379,38.69832632,0.234031593,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,133.872717,18.08218297,0.135069963,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,190.0830546,27.60521509,0.145227123,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,157.3511502,24.59796445,0.156325292,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,226.4076286,29.16057476,0.128796785,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,199.3116696,32.0416322,0.160761446,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,146.8707603,30.79484086,0.209673054,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,226.0711876,36.03192299,0.159383084,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,222.0573962,25.12426266,0.113143102,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,164.7133074,28.24770202,0.171496174,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,128.8463201,16.37430514,0.127083995,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,152.5828855,19.89321921,0.130376478,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,198.9832877,20.21766552,0.101604842,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,124.2696928,24.26148918,0.195232551,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,179.9938594,38.36302135,0.213135167,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,175.8585865,27.54260126,0.156617893,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,166.3610303,26.88163301,0.161586118,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,188.3740056,12.13173571,0.064402388,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,197.2517974,38.01534604,0.192724966,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,81.39294738,13.16503371,0.161746615,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,137.546493,10.99978967,0.07997143,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,211.5758894,29.1582565,0.137814647,76.3,933,0,0
SS med,95531.pps,0,SS,95,S,184.4680803,19.22337449,0.104209761,76.3,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,221.733717,20.51339127,0.092513631,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,192.2356507,15.73281969,0.081841322,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,69.69352716,16.68644104,0.23942598,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,151.3585687,24.68396795,0.163082726,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,172.6120083,34.14838627,0.197833202,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,144.2402594,23.66163243,0.164043191,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,153.9010375,10.55343194,0.068572845,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,145.9861983,13.39671722,0.091767012,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,141.6007711,8.795652359,0.062115851,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,165.4212924,18.69481688,0.113013365,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,140.8120326,41.95698821,0.297964509,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,179.5313302,37.10451533,0.206674319,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,184.6780895,18.10787563,0.098051023,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,124.9200237,23.92430927,0.191517009,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,51.0371408,11.80007617,0.231205667,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,72.6500977,20.05417432,0.276037816,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,56.28099709,10.69899183,0.190099543,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,68.68748471,11.12359218,0.161944963,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,52.88429475,8.793963779,0.166286869,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,172.4398427,32.43045094,0.188068201,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,184.7339113,22.24863254,0.120436104,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,72.45219979,12.68360764,0.175061733,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,204.04709,28.19434793,0.138175692,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,189.9620245,30.76827699,0.161970673,77.5,933,0,0
SS-Ni med,95533.pps,0,SS,95,Ni,182.9201062,19.34494391,0.105756247,77.5,933,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,108.5574094,32.19528202,0.296573787,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,99.47215842,9.043531385,0.090915202,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,135.7390611,20.61771492,0.151892276,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,110.3834736,15.55529117,0.140920472,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,117.7707128,12.78841007,0.108587354,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,106.6973076,18.08317903,0.169481118,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,128.3993456,28.24932349,0.220011429,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,126.592924,20.61901075,0.162876487,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,117.6714291,25.5730235,0.217325681,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,128.4482068,26.08222172,0.203056332,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,130.2563578,9.042180489,0.069418343,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,99.52971729,9.987210032,0.100344001,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,77.84601594,6.521389203,0.083772935,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,137.4891421,19.88945575,0.144662011,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,96.67060401,13.0400858,0.134891945,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,95.90651847,18.08374477,0.188555951,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,70.89268762,12.78636251,0.18036222,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,83.26009903,18.08243625,0.217180095,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,121.2179238,24.32987817,0.200711887,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,124.8891676,9.041842782,0.072398935,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,110.3277359,14.5789784,0.13214246,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,132.3132993,14.1241753,0.106747964,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,110.3058579,17.15644072,0.155535173,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,79.58470071,11.57964101,0.145500843,78.2,453,0,0
SS-Ni med,95534.pps,0,SS,95,Ni,57.89212854,14.12466174,0.243982422,78.2,453,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,147.6532784,25.5848497,0.173276543,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,137.4969156,14.58514913,0.106076191,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,58.337586,17.90827976,0.306976702,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,191.7632288,38.46600673,0.200591151,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,175.5114996,6.521389203,0.037156478,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,213.5118118,28.60465729,0.133972247,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,179.3198964,13.77820965,0.076835922,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,179.1887033,35.12754406,0.196036599,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,177.6148866,36.40454746,0.20496338,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,135.9752706,19.22980719,0.141421356,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,152.0663062,27.55633615,0.181212636,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,151.9998941,14.47177399,0.095209106,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,209.8946529,30.11123467,0.143458798,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,184.541957,30.8088151,0.166947482,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,213.6549599,21.09565635,0.098737031,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,116.293646,28.08549077,0.241504947,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,99.49582052,12.79248117,0.128573051,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,73.46806252,16.67843914,0.227016183,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,197.851825,14.58560189,0.073719825,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,157.4396756,26.71218925,0.169666186,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,72.57023238,9.222719846,0.127086817,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,184.6596215,32.36274823,0.175256225,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,63.34642894,16.67968772,0.263309045,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,173.6893594,16.68235606,0.096047081,86.5,933,0,0
SS-Ni med,95538.pps,0,SS,95,Ni,189.9459909,36.04485993,0.189763731,86.5,933,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,50.58813742,11.77744608,0.232810431,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,41.1398515,5.889646379,0.143161586,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,59.6214549,7.551690071,0.126660614,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,42.99590969,10.53514255,0.245026623,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,50.59023502,10.02863761,0.198232675,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,39.28471575,6.71432071,0.170914326,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,48.42925127,8.328084965,0.171963942,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,46.70838087,9.311757355,0.199359455,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,45.95260164,10.53305321,0.229215601,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,41.35180761,11.92437009,0.288363938,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,42.87354764,9.494159052,0.221445613,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,35.43168213,12.93570152,0.365088552,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,50.02135742,9.496727795,0.18985346,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,41.35183613,14.54451551,0.35172599,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,48.56026929,11.92536098,0.245578559,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,50.42280031,8.329469339,0.165192518,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,31.87599501,5.88868967,0.184737439,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,41.13818054,4.163004148,0.101195631,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,41.01154496,10.85986245,0.26480013,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,50.31318188,9.898383481,0.19673539,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,31.71238233,9.310983631,0.293607195,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,46.55576236,7.507674227,0.161261976,85.4,144,0,0
SS-Ni med,95539.pps,0,SS,95,Ni,46.5968588,7.900938954,0.169559476,85.4,144,0,0
Ti 1mm ,95557.pps,0,Ti,1000,S,100.1747571,39.1298631,0.390616002,72.7,453,0,0
Ti 1mm ,95557.pps,0,Ti,1000,S,26.28438877,16.40082122,0.623975751,72.7,453,0,0
Ti 1mm ,95557.pps,0,Ti,1000,S,105.8727769,40.71552745,0.384570318,72.7,453,0,0
Ti 1mm ,95557.pps,0,Ti,1000,S,101.0839226,32.72410438,0.323732039,72.7,453,0,0
Ti 1mm ,95557.pps,0,Ti,1000,S,105.3764891,25.57397812,0.242691499,72.7,453,0,0
Ti 1mm ,95557.pps,0,Ti,1000,S,103.7419181,34.21710569,0.329829121,72.7,453,0,0
Ti 1mm ,95557.pps,0,Ti,1000,S,103.0708176,38.36178093,0.372188577,72.7,453,0,0
Ti 1mm ,95557.pps,0,Ti,1000,S,34.80931663,19.18169595,0.551050633,72.7,453,0,0
Ti 1mm ,95558.pps,0,Ti,1000,S,12.0574745,9.001743697,0.746569582,72.1,144,0,0
Ti 1mm ,95558.pps,0,Ti,1000,S,49.78447436,23.6360288,0.474767066,72.1,144,0,0
Ti 1mm ,95558.pps,0,Ti,1000,S,11.04715545,4.881773733,0.441903235,72.1,144,0,0
Ti 1mm ,95558.pps,0,Ti,1000,S,51.85303967,24.40964271,0.470746611,72.1,144,0,0
Ti 1mm ,95558.pps,0,Ti,1000,S,47.64268743,24.16362772,0.507184397,72.1,144,0,0
Ti 1mm ,95558.pps,0,Ti,1000,S,48.45193524,24.16362772,0.498713366,72.1,144,0,0
Ti 1mm ,95558.pps,0,Ti,1000,S,15.93920219,9.763547466,0.61254932,72.1,144,0,0
Ti 1mm ,95558.pps,0,Ti,1000,S,13.80790233,9.88511251,0.715902552,72.1,144,0,0
Ti 1mm ,95558.pps,0,Ti,1000,S,47.64349282,26.31695208,0.552372434,72.1,144,0,0
Ti 1mm ,95558.pps,0,Ti,1000,S,51.09544135,24.86427422,0.486624121,72.1,144,0,0
Ti 1mm ,95558.pps,0,Ti,1000,S,46.25789941,23.48350057,0.507664656,72.1,144,0,0
Ti-Ni 1mm,95559.pps,0,Ti,1000,Ni,47.63765871,17.25202473,0.362150979,72.7,144,0,0
Ti-Ni 1mm,95559.pps,0,Ti,1000,Ni,49.80891553,17.26718093,0.346668478,72.7,144,0,0
Ti-Ni 1mm,95559.pps,0,Ti,1000,Ni,23.82702703,9.207053335,0.386412175,72.7,144,0,0
Ti-Ni 1mm,95559.pps,0,Ti,1000,Ni,48.32915678,17.9436735,0.3712805,72.7,144,0,0
Ti-Ni 1mm,95559.pps,0,Ti,1000,Ni,9.207053335,4.629713771,0.502844244,72.7,144,0,0
Ti-Ni 1mm,95559.pps,0,Ti,1000,Ni,49.04110041,17.30772284,0.352922808,72.7,144,0,0
Ti-Ni 1mm,95559.pps,0,Ti,1000,Ni,11.12794092,4.879536394,0.438494096,72.7,144,0,0
Ti-Ni 1mm,95559.pps,0,Ti,1000,Ni,46.93245242,16.56308112,0.352913182,72.7,144,0,0
Ti-Ni 1mm,95559.pps,0,Ti,1000,Ni,47.61916027,15.18281275,0.318838313,72.7,144,0,0
Ti-Ni 1mm,95559.pps,0,Ti,1000,Ni,12.59314594,5.690584888,0.451879531,72.7,144,0,0
Ti-Ni 1mm,95559.pps,0,Ti,1000,Ni,45.59384226,17.95637706,0.393833381,72.7,144,0,0
Ti-Ni 1mm,95559.pps,0,Ti,1000,Ni,47.99456864,15.8872493,0.331021817,72.7,144,0,0
Ti-Ni 1mm,95560.pps,0,Ti,1000,Ni,139.7508528,29.65456588,0.212195957,73.4,933,0,0
Ti-Ni 1mm,95560.pps,0,Ti,1000,Ni,142.25119,27.65128027,0.194383472,73.4,933,0,0
Ti-Ni 1mm,95560.pps,0,Ti,1000,Ni,35.23668225,7.871326939,0.223384452,73.4,933,0,0
Ti-Ni 1mm,95560.pps,0,Ti,1000,Ni,38.96267895,14.23290878,0.365295949,73.4,933,0,0
Ti-Ni 1mm,95560.pps,0,Ti,1000,Ni,104.3978438,27.48613673,0.263282609,73.4,933,0,0
Ti-Ni 1mm,95560.pps,0,Ti,1000,Ni,148.4956165,29.02919938,0.195488595,73.4,933,0,0
Ti-Ni 1mm,95560.pps,0,Ti,1000,Ni,147.7839764,30.57323383,0.206877867,73.4,933,0,0
Ti-Ni 1mm,95560.pps,0,Ti,1000,Ni,141.3918192,29.49461346,0.20860198,73.4,933,0,0
Ti-Ni 1mm,95560.pps,0,Ti,1000,Ni,28.3069766,10.44767368,0.36908476,73.4,933,0,0
Ti 1mm ,95561.pps,0,Ti,1000,S,50.39685458,25.7666184,0.511274337,73,144,0,0
Ti 1mm ,95561.pps,0,Ti,1000,S,49.69246218,24.19253346,0.486845135,73,144,0,0
Ti 1mm ,95561.pps,0,Ti,1000,S,44.21556624,22.09543075,0.499720633,73,144,0,0
Ti 1mm ,95561.pps,0,Ti,1000,S,9.686854652,6.935487813,0.715969018,73,144,0,0
Ti 1mm ,95561.pps,0,Ti,1000,S,49.69245099,24.85461219,0.500168772,73,144,0,0
Ti 1mm ,95561.pps,0,Ti,1000,S,33.47543752,20.58797508,0.615017356,73,144,0,0
Ti 1mm ,95561.pps,0,Ti,1000,S,46.92737593,24.84421894,0.529418457,73,144,0,0
Ti 1mm ,95561.pps,0,Ti,1000,S,13.8714956,10.51140661,0.757770244,73,144,0,0
Ti 1mm ,95561.pps,0,Ti,1000,S,48.70719445,26.45085801,0.543058542,73,144,0,0
Ti-Ni 1mm,95562.pps,0,Ti,1000,Ni,12.41214484,5.124972459,0.412899827,73.7,144,0,0
Ti-Ni 1mm,95562.pps,0,Ti,1000,Ni,50.46430484,18.81773624,0.372892013,73.7,144,0,0
Ti-Ni 1mm,95562.pps,0,Ti,1000,Ni,12.16507128,5.86092176,0.481782772,73.7,144,0,0
Ti-Ni 1mm,95562.pps,0,Ti,1000,Ni,48.3757958,17.08684036,0.353210528,73.7,144,0,0
Ti-Ni 1mm,95562.pps,0,Ti,1000,Ni,50.50431485,17.78230829,0.352094833,73.7,144,0,0
Ti-Ni 1mm,95562.pps,0,Ti,1000,Ni,49.99863341,19.18914222,0.383793334,73.7,144,0,0
Ti-Ni 1mm,95562.pps,0,Ti,1000,Ni,9.949776439,5.025867921,0.505123703,73.7,144,0,0
Ti-Ni 1mm,95562.pps,0,Ti,1000,Ni,46.99172365,16.40804329,0.34916879,73.7,144,0,0
Ti 1mm ,95563.pps,0,Ti,1000,S,142.0489247,44.30791859,0.311920127,74.8,933,0,0
Ti 1mm ,95563.pps,0,Ti,1000,S,75.66193762,23.57779512,0.311620292,74.8,933,0,0
Ti 1mm ,95563.pps,0,Ti,1000,S,141.3527567,46.79896261,0.331079235,74.8,933,0,0
Ti 1mm ,95563.pps,0,Ti,1000,S,141.3642323,41.56235477,0.294008987,74.8,933,0,0
Ti 1mm ,95563.pps,0,Ti,1000,S,31.89267646,17.35603802,0.544201364,74.8,933,0,0
Ti 1mm ,95563.pps,0,Ti,1000,S,139.9821894,38.1344662,0.272423702,74.8,933,0,0
Ti 1mm ,95565.pps,0,Ti,1000,S,107.3204526,39.32183211,0.366396443,75.4,453,0,0
Ti 1mm ,95565.pps,0,Ti,1000,S,93.27429901,35.85364017,0.384389275,75.4,453,0,0
Ti 1mm ,95565.pps,0,Ti,1000,S,23.6247861,15.97148783,0.676047934,75.4,453,0,0
Ti 1mm ,95565.pps,0,Ti,1000,S,22.31555533,16.20700979,0.726265134,75.4,453,0,0
Ti 1mm ,95565.pps,0,Ti,1000,S,108.7455474,35.54325852,0.326847943,75.4,453,0,0
Ti 1mm ,95565.pps,0,Ti,1000,S,31.30344213,17.82349593,0.569378149,75.4,453,0,0
Ti 1mm ,95565.pps,0,Ti,1000,S,105.979726,38.43665539,0.362679324,75.4,453,0,0
Ti 1mm ,95565.pps,0,Ti,1000,S,111.5999456,35.64859763,0.319432034,75.4,453,0,0
Ti 1mm ,95565.pps,0,Ti,1000,S,25.59431021,16.03423533,0.626476557,75.4,453,0,0
Ti 1mm ,95565.pps,0,Ti,1000,S,110.9083312,39.61105088,0.357151266,75.4,453,0,0
Ti 1mm ,95565.pps,0,Ti,1000,S,102.3446292,40.66637839,0.397347459,75.4,453,0,0
Ti-Ni 1mm,95566.pps,0,Ti,1000,Ni,101.5048246,27.23179498,0.268280794,74.9,453,0,0
Ti-Ni 1mm,95566.pps,0,Ti,1000,Ni,104.3432632,28.96937751,0.277635342,74.9,453,0,0
Ti-Ni 1mm,95566.pps,0,Ti,1000,Ni,96.28153645,25.68255769,0.266744369,74.9,453,0,0
Ti-Ni 1mm,95566.pps,0,Ti,1000,Ni,101.4587579,26.26195929,0.25884369,74.9,453,0,0
Ti-Ni 1mm,95566.pps,0,Ti,1000,Ni,104.2188993,28.59630562,0.274386947,74.9,453,0,0
Ti-Ni 1mm,95566.pps,0,Ti,1000,Ni,102.9100491,26.36885136,0.256232036,74.9,453,0,0
Ti-Ni 1mm,95566.pps,0,Ti,1000,Ni,19.43402597,7.622966266,0.392248435,74.9,453,0,0
Ti-Ni 1mm,95566.pps,0,Ti,1000,Ni,101.5643485,26.36968756,0.259635275,74.9,453,0,0
Ti-Ni 1mm,95566.pps,0,Ti,1000,Ni,101.5962591,25.53451086,0.25133318,74.9,453,0,0
Ti-Ni 1mm,95566.pps,0,Ti,1000,Ni,101.4509128,24.88176006,0.245259105,74.9,453,0,0
Ti-Ni 1mm,95567.pps,0,Ti,1000,Ni,146.2581375,31.37604936,0.214525153,75.5,933,0,0
Ti-Ni 1mm,95567.pps,0,Ti,1000,Ni,140.733842,31.94171182,0.226965393,75.5,933,0,0
Ti-Ni 1mm,95567.pps,0,Ti,1000,Ni,91.02763439,19.75951415,0.217071599,75.5,933,0,0
Ti-Ni 1mm,95567.pps,0,Ti,1000,Ni,145.7545634,32.88539834,0.225621741,75.5,933,0,0
Ti-Ni 1mm,95567.pps,0,Ti,1000,Ni,142.2308767,32.01396321,0.225084482,75.5,933,0,0
Ti-Ni 1mm,95567.pps,0,Ti,1000,Ni,41.27764631,13.50263517,0.327117372,75.5,933,0,0
Ti-Ni 1mm,95567.pps,0,Ti,1000,Ni,140.7508601,27.72646857,0.196989692,75.5,933,0,0
Ti-Ni 1mm,95567.pps,0,Ti,1000,Ni,145.7599907,19.24147816,0.132007954,75.5,933,0,0
Ti-Ni 1mm,95568.pps,0,Ti,1000,Ni,144.3063627,37.36439556,0.258924103,74.9,933,0,0
Ti-Ni 1mm,95568.pps,0,Ti,1000,Ni,142.2519953,26.93442591,0.189343045,74.9,933,0,0
Ti-Ni 1mm,95568.pps,0,Ti,1000,Ni,100.8677557,34.93828475,0.34637714,74.9,933,0,0
Ti-Ni 1mm,95568.pps,0,Ti,1000,Ni,144.2931431,29.69465161,0.20579392,74.9,933,0,0
Ti-Ni 1mm,95568.pps,0,Ti,1000,Ni,74.47317243,18.12147454,0.243328892,74.9,933,0,0
Ti-Ni 1mm,95568.pps,0,Ti,1000,Ni,134.4532491,32.4778852,0.241555228,74.9,933,0,0
Ti 1mm ,95569.pps,0,Ti,1000,S,81.03680756,31.33083014,0.386624684,78.7,933,0,0
Ti 1mm ,95569.pps,0,Ti,1000,S,147.1166019,37.59706047,0.255559604,78.7,933,0,0
Ti 1mm ,95569.pps,0,Ti,1000,S,147.8489291,45.51603946,0.30785505,78.7,933,0,0
Ti 1mm ,95569.pps,0,Ti,1000,S,144.981589,45.51459611,0.313933627,78.7,933,0,0
Ti 1mm ,95569.pps,0,Ti,1000,S,57.54786223,29.16066594,0.506720229,78.7,933,0,0
Ti 1mm ,95569.pps,0,Ti,1000,S,150.2214175,46.31297095,0.308298056,78.7,933,0,0
Ti 1mm ,95569.pps,0,Ti,1000,S,157.9815233,44.89493491,0.28417839,78.7,933,0,0
Ti 1mm ,95569.pps,0,Ti,1000,S,147.8745298,45.47022094,0.307491905,78.7,933,0,0
Ti 1mm ,95569.pps,0,Ti,1000,S,149.9235031,47.68216757,0.318043313,78.7,933,0,0
Ti 1mm ,95570.pps,0,Ti,1000,S,149.2776555,47.63874331,0.319128426,78.2,933,0,0
Ti 1mm ,95570.pps,0,Ti,1000,S,146.45116,44.79899615,0.305897175,78.2,933,0,0
Ti 1mm ,95570.pps,0,Ti,1000,S,139.3621196,45.49179742,0.326428714,78.2,933,0,0
Ti 1mm ,95570.pps,0,Ti,1000,S,142.8701689,37.39185591,0.261719127,78.2,933,0,0
Ti 1mm ,95570.pps,0,Ti,1000,S,145.0299109,45.49036743,0.313661969,78.2,933,0,0
Ti 1mm ,95570.pps,0,Ti,1000,S,149.2610689,45.49100463,0.304774748,78.2,933,0,0
Ti 1mm ,95570.pps,0,Ti,1000,S,145.7770761,47.63803774,0.326786893,78.2,933,0,0
Ti 1mm ,95570.pps,0,Ti,1000,S,145.373148,46.73876639,0.321508938,78.2,933,0,0
Ti 1mm ,95570.pps,0,Ti,1000,S,126.7483874,28.11652209,0.221829427,78.2,933,0,0
Ti 1mm ,95571.pps,0,Ti,1000,S,46.89087409,22.74415459,0.485044372,76.9,144,0,0
Ti 1mm ,95571.pps,0,Ti,1000,S,15.8844727,11.38874917,0.716973701,76.9,144,0,0
Ti 1mm ,95571.pps,0,Ti,1000,S,51.15451171,25.58384334,0.500128776,76.9,144,0,0
Ti 1mm ,95571.pps,0,Ti,1000,S,20.20743878,12.96377794,0.641534936,76.9,144,0,0
Ti 1mm ,95571.pps,0,Ti,1000,S,47.60271394,27.71519555,0.582218812,76.9,144,0,0
Ti 1mm ,95571.pps,0,Ti,1000,S,47.64359483,24.87450324,0.522095432,76.9,144,0,0
Ti 1mm ,95571.pps,0,Ti,1000,S,12.78739179,10.86640356,0.849774821,76.9,144,0,0
Ti 1mm ,95571.pps,0,Ti,1000,S,48.30631362,26.43838793,0.54730709,76.9,144,0,0
Ti 1mm ,95571.pps,0,Ti,1000,S,47.5982178,24.31974335,0.510938108,76.9,144,0,0
Ti 1mm ,95571.pps,0,Ti,1000,S,46.93390607,22.74343335,0.484584286,76.9,144,0,0
Ti 1mm ,95571.pps,0,Ti,1000,S,42.12880396,22.91078174,0.543827016,76.9,144,0,0
Ti 1mm ,95571.pps,0,Ti,1000,S,17.76082958,12.78739179,0.719977168,76.9,144,0,0
Ti-Ni 1mm,95572.pps,0,Ti,1000,Ni,15.77367637,6.433042086,0.407834035,77.9,453,0,0
Ti-Ni 1mm,95572.pps,0,Ti,1000,Ni,99.61652235,26.37148743,0.264730055,77.9,453,0,0
