atomID,x,y,z
1,152.38,71.516,52.5
2,152.456,74.936,61
3,152.532,57,52.5
4,152.532,58.824,51
5,152.532,68.02,76.5
6,152.608,17.708,95.5
7,152.684,69.54,63.5
8,152.709333333333,32.7306666666667,63
9,152.76,18.012,97
10,152.76,22.42,101.5
11,152.76,41.724,101
12,152.76,42.427,53.25
13,152.76,67.716,64
14,152.836,24.7,77.9
15,152.836,49.628,57
16,152.836,51.072,53
17,152.836,64.372,49.5
18,152.912,75.544,51.5
19,152.9576,54.7656,55.7
20,152.988,41.268,101
21,152.988,47.728,57
22,153.007,22.3706,102.15
23,153.013333333333,29.3106666666667,63.1666666666667
24,153.0184,23.7576,81.4
25,153.14,20.216,101
26,153.172571428571,17.7188571428571,95.2857142857143
27,153.216,18.2182857142857,97.1428571428571
28,153.292,15.276,56.5
29,153.292,16.644,59
30,153.292,24.168,81
31,153.317333333333,23.8133333333333,81.5
32,153.418666666667,16.0866666666667,57.5
33,153.482,17.214,95.5
34,153.52,29.203,62.625
35,153.52,52.82,53.5
36,153.596,67.64,64
37,153.621333333333,74.0493333333333,52.1666666666667
38,153.634,52.174,56.5
39,153.768727272727,16.3480606060606,58.6590909090909
40,153.824,51.7162242990654,52.785046728972
41,153.9,15.504,56
42,154.026666666667,74.2013333333333,52.5
43,154.102666666667,69.312,75
44,154.128,46.816,80.5
45,154.1964,20.8012,102.15
46,154.28,64.068,50
47,154.299,67.45,64
48,154.330666666667,20.6466666666667,102
49,154.346341666667,20.7364416666667,102.15
50,154.66,41.8,53.5
51,154.812,46.892,81.5
52,154.888,42.484,53.5
53,154.913333333333,47.7533333333333,80.6666666666667
54,155.014666666667,62.5733333333333,63
55,155.0704,20.0697,101.7
56,155.116,41.9013333333333,54
57,155.141333333333,47.2213333333333,81
58,155.192,47.424,81
59,155.192,47.576,81
60,155.318666666667,34.0986666666667,63
61,155.344,47.348,81
62,155.42,72.808,68
63,155.439,73.568,68.125
64,155.445333333333,69.9706666666667,64.6666666666667
65,155.458,69.654,65
66,155.470666666667,56.1893333333333,61
67,155.477,58.14,61.875
68,155.6176,46.6792,80.6
69,155.673333333333,17.2773333333333,58.3333333333333
70,155.724,51.224,52
71,155.774666666667,41.2933333333333,53.3333333333333
72,155.8,70.3,64
73,155.926666666667,58.7226666666667,62.3333333333333
74,156.002666666667,58.1906666666667,61.6666666666667
75,156.015333333333,46.246,80.75
76,156.028,76.532,58
77,156.104,57.304,61.5
78,156.129333333333,46.9173333333333,81.5
79,156.18,70.224,65
80,156.332,55.86,60.5
81,156.56,19.836,102
82,156.600171428571,19.8859428571429,102.15
83,156.712,75.772,63
84,156.762666666667,40.1026666666667,53
85,156.762666666667,56.3413333333333,61.6666666666667
86,156.788,55.613,60.875
87,156.810285714286,19.7365714285714,102.15
88,156.94,76,61.5
89,157.092,36.632,62
90,157.092,49.704,51.5
91,157.244,76.76,54
92,157.282,52.402,52.5
93,157.472,37.164,65
94,157.497333333333,38.7853333333333,52.5
95,157.573333333333,54.4413333333333,60.5
96,157.605022754491,45.8537467065868,48.2
97,157.674666666667,37.088,66.1666666666667
98,157.719,36.48,56.5
99,157.813681860465,47.9861172093023,48.2
100,157.852,76.456,57
101,158.004,51.452,56.5
102,158.054666666667,25.3586666666667,55.5
103,158.054666666667,37.7466666666667,68.3333333333333
104,158.08,25.156,56
105,158.156,37.62,65
106,158.333333333333,25.5613333333333,55
107,158.688,53.048,60
108,158.865333333333,64.2875555555556,50
109,159.106,36.594,49.5
110,159.413114754098,17.4102295081967,58.9180327868852
111,159.4632,43.1224,58.7
112,159.594188235294,36.2046117647059,48.2
113,159.726666666667,39.7226666666667,77.5
114,159.762857142857,41.192,79.8571428571429
115,159.828,64.752,49.5
116,159.929333333333,40.0266666666667,78.6666666666667
117,160.056,39.368,78.5
118,160.132,40.052,80
119,160.132,63.764,50.5
120,160.17,63.422,50.55
121,160.227,64.866,49
122,160.309333333333,39.178,79.6666666666667
123,160.36,63.916,49.5
124,160.638666666667,39.4186666666667,79.3333333333333
125,160.866666666667,39.5706666666667,80
126,161.12,17.708,57
