atomID,x,y,z
1,152.38,41.8,107
2,152.38,71.516,52.5
3,152.456,47.044,103.5
4,152.456,74.936,61
5,152.532,46.816,103.5
6,152.532,57,52.5
7,152.532,58.824,51
8,152.532,68.02,76.5
9,152.608,17.708,95.5
10,152.608,45.524,47
11,152.658666666667,41.5213333333333,109.166666666667
12,152.684,69.54,63.5
13,152.709333333333,32.7306666666667,63
14,152.76,18.012,97
15,152.76,22.42,101.5
16,152.76,41.724,101
17,152.76,42.427,53.25
18,152.76,67.716,64
19,152.836,24.7,77.9
20,152.836,49.628,57
21,152.836,51.072,53
22,152.836,64.372,49.5
23,152.912,27.132,109
24,152.912,75.544,51.5
25,152.931,28.348,110.5
26,152.9348,28.5228,110.7
27,152.9576,54.7656,55.7
28,152.966285714286,26.5565714285714,108.5
29,152.988,22.192,103.5
30,152.988,27.512,110
31,152.988,41.268,101
32,152.988,47.728,57
33,153.013333333333,29.3106666666667,63.1666666666667
34,153.0184,23.7576,81.4
35,153.14,20.216,101
36,153.14,22.344,102.5
37,153.14,30.704,106.5
38,153.172571428571,17.7188571428571,95.2857142857143
39,153.216,18.2182857142857,97.1428571428571
40,153.216,50.084,47
41,153.2236,28.766,110.7
42,153.248188235294,42.7003764705882,110.7
43,153.254,22.914,105.5
44,153.292,15.276,56.5
45,153.292,16.644,59
46,153.292,24.168,81
47,153.292,28.652,110.5
48,153.317333333333,23.8133333333333,81.5
49,153.418666666667,16.0866666666667,57.5
50,153.444,24.32,107
51,153.46832,28.70672,110.7
52,153.4744,26.7368,108.6
53,153.482,17.214,95.5
54,153.52,29.203,62.625
55,153.52,52.82,53.5
56,153.596,67.64,64
57,153.621333333333,74.0493333333333,52.1666666666667
58,153.634,52.174,56.5
59,153.672,51.148,46.375
60,153.748,51.452,46
61,153.768727272727,16.3480606060606,58.6590909090909
62,153.824,51.7162242990654,52.785046728972
63,153.859076923077,44.5336615384615,110.7
64,153.893712727273,53.30792,41.56
65,153.9,15.504,56
66,154.0216,45.4328,103.5
67,154.026666666667,74.2013333333333,52.5
68,154.052,23.408,105.5
69,154.102666666667,69.312,75
70,154.128,46.816,80.5
71,154.178666666667,45.8026666666667,103.833333333333
72,154.204,22.648,105
73,154.28,23.256,105.5
74,154.28,64.068,50
75,154.299,67.45,64
76,154.330666666667,20.6466666666667,102
77,154.356,22.496,105
78,154.356,45.904,104.5
79,154.47,24.7,106.916666666667
80,154.47,45.562,103.25
81,154.558666666667,22.9266666666667,102.666666666667
82,154.584,46.056,104.5
83,154.609333333333,22.2426666666667,104.666666666667
84,154.66,41.8,53.5
85,154.7379,28.3765,110.7
86,154.786666666667,27.9933333333333,110.333333333333
87,154.812,46.892,81.5
88,154.888,42.484,53.5
89,154.913333333333,47.7533333333333,80.6666666666667
90,155.014666666667,62.5733333333333,63
91,155.065333333333,27.5626666666667,109.833333333333
92,155.0704,20.0697,101.7
93,155.090666666667,50.2613333333333,45.5
94,155.116,41.9013333333333,54
95,155.141333333333,47.2213333333333,81
96,155.192,47.424,81
97,155.192,47.576,81
98,155.268,26.22,108.5
99,155.318666666667,34.0986666666667,63
100,155.344,47.348,81
101,155.42,22.496,106
102,155.42,72.808,68
103,155.439,73.568,68.125
104,155.445333333333,69.9706666666667,64.6666666666667
105,155.458,69.654,65
106,155.470666666667,56.1893333333333,61
107,155.477,58.14,61.875
108,155.6176,46.6792,80.6
109,155.648,26.524,108.5
110,155.673333333333,17.2773333333333,58.3333333333333
111,155.724,51.224,52
112,155.774666666667,41.2933333333333,53.3333333333333
113,155.8,70.3,64
114,155.9216,27.6792,109.5
115,155.926666666667,58.7226666666667,62.3333333333333
116,156.002666666667,58.1906666666667,61.6666666666667
117,156.015333333333,46.246,80.75
118,156.028,76.532,58
119,156.0432,28.8496,110.7
120,156.104,26.752,109
121,156.104,57.304,61.5
122,156.129333333333,46.9173333333333,81.5
123,156.18,70.224,65
124,156.332,55.86,60.5
125,156.427,27.132,109.25
126,156.56,19.836,102
127,156.56,28.728,110.5
128,156.712,75.772,63
129,156.762666666667,40.1026666666667,53
130,156.762666666667,56.3413333333333,61.6666666666667
131,156.788,55.613,60.875
132,156.94,76,61.5
133,157.016,43.776,44.8333333333333
134,157.092,23.104,106.5
135,157.092,36.632,62
136,157.092,49.704,51.5
137,157.244,76.76,54
138,157.282,52.402,52.5
139,157.472,37.164,65
140,157.497333333333,21.0013333333333,105.5
141,157.497333333333,38.7853333333333,52.5
142,157.548,23.256,106.5
143,157.548,28.956,110.5
144,157.573333333333,54.4413333333333,60.5
145,157.615555555556,29.3106666666667,110.7
146,157.624,23.636,106.5
147,157.624,24.244,107.5
148,157.674666666667,37.088,66.1666666666667
149,157.719,36.48,56.5
150,157.852,76.456,57
151,157.928,28.424,109.5
152,157.953333333333,28.6266666666667,109.5
153,157.966,23.75,106.5
154,158.004,51.452,56.5
155,158.054666666667,25.3586666666667,55.5
156,158.054666666667,37.7466666666667,68.3333333333333
157,158.08,20.672,106
158,158.08,25.156,56
159,158.08,26.296,108
160,158.144656716418,47.1982686567164,46.6865671641791
161,158.156,37.62,65
162,158.194,25.726,107.5
163,158.282666666667,23.0533333333333,106
164,158.308,26.524,107.5
165,158.333333333333,25.5613333333333,55
166,158.384,29.412,110
167,158.50864,30.3696,110.7
168,158.536,20.064,106.5
169,158.536,24.092,106.5
170,158.536,25.156,107.5
171,158.561333333333,44.9666666666667,45
172,158.574,44.726,45
173,158.662666666667,26.5493333333333,107.5
174,158.688,43.016,44
175,158.688,53.048,60
176,158.738666666667,23.9146666666667,106.5
177,158.7944,30.248,110.5
178,158.802,19.19,106.25
179,158.814666666667,29.7413333333333,110.5
180,158.865333333333,64.2875555555556,50
181,158.937714285714,23.256,106.285714285714
182,158.954,44.346,45
183,158.992,26.22,108
184,158.992,45.22,44
185,159.02544,30.5824,110.7
186,159.106,36.594,49.5
187,159.182,19.95,106.5
188,159.22,45.258,45.125
189,159.22,45.6,45
190,159.296,29.184,109.5
191,159.372,19.912,106.5
192,159.372,45.448,45
193,159.413114754098,17.4102295081967,58.9180327868852
194,159.4632,43.1224,58.7
195,159.48,18.676,103.75
196,159.513142857143,42.5274285714286,43.5714285714286
197,159.638,45.163,44.9375
198,159.676,45.524,44.5
199,159.714,29.07,107.416666666667
200,159.726666666667,39.7226666666667,77.5
201,159.752,28.652,108.625
202,159.762857142857,41.192,79.8571428571429
203,159.828,64.752,49.5
204,159.904,44.232,44.5
205,159.929333333333,40.0266666666667,78.6666666666667
206,159.929333333333,44.84,44.6666666666667
207,159.9648,42.3016,43.8
